SITE_ID,n_forest_cells,total_protected_forest_area_mha,mean_FLII,mean_pest_record_probability,obs_occurrence,mean_sampling_effort,mean_carbon_percentile,IUCN_group,governance_group,ISO3,country
801,63,0.276298219166445,7.07471668192256,0.0334063687721333,0,3.01874586021152,0.385224406387428,VI,Shared governance,MOZ,Mozambique
805,14,0.0680448454360044,7.53557929055609,0.120742059446778,0,4.69975896763168,0.485456141819773,II,Government,NPL,Nepal
903,142,0.528681051145093,9.80326091341709,0.00252449752202236,0,0.0536178294382953,0.09846245424017,II,Government,SSD,South Sudan
917,20,0.0695228284969049,9.72540591055604,0.00195486509069839,0,0.436038005639084,0.108323038492608,II,Government,TZA,Tanzania
919,14,0.0753079551629818,8.4533748876662,0.0134555649532417,0,2.3331098505627,0.499239976004007,II,Government,TZA,Tanzania
921,15,0.0541703204343939,9.3332761531072,0.0067696986006167,0,1.47330386872333,0.205626524524944,II,Government,TZA,Tanzania
922,9,0.0417589187844886,7.76308797413465,0.112599047958254,0,4.92200789467821,0.695786082496237,II,Government,TZA,Tanzania
930,6,0.0365024559074165,9.37555109214601,0.0815667752392261,0,3.48885947666348,0.510314692605657,II,Government,THA,Thailand
956,23,0.10782157849675,9.13598870164044,0.0112020981329543,0,2.41854926884842,0.309300312022718,II,Government,UGA,Uganda
960,5,0.00896619146492838,0.85197230552941,0.701609589965785,0,9.80591616034674,0.776895850392929,V,Government,GBR,United Kingdom
977,5,0.0208371748926883,9.53174519259373,0.436727975529783,0,4.8525150027031,0.178868538299652,V,Government,USA,United States
984,12,0.0502768273587568,7.7788175832723,0.624960308357341,0,7.90762105196634,0.771004911149366,II,Government,USA,United States
989,10,0.0662509300691854,7.6009674311365,0.790920683254792,0,7.86853630466723,0.258931281299042,II,Government,USA,United States
990,7,0.0460659208709506,6.30806716175212,0.564369452644362,0,6.63579438761949,0.925742884495791,II,Government,USA,United States
1009,24,0.0553385510945612,9.78761773354085,0.0243389939015634,0,0.624756903070829,0.888459838153267,II,Government,USA,United States
1080,88,1.01890173600469,9.85413788877063,0.00112582736349705,0,0.168448064604467,0.147554271941426,II,Not reported,COD,Congo - Kinshasa
1082,54,0.588270389148792,8.84693002900778,0.00554873364196158,0,1.3522812745584,0.178162221292691,II,Not reported,COD,Congo - Kinshasa
1085,61,0.184040328116815,9.55217524932818,0.00947002648994959,0,0.600010815226634,0.166152070171024,II,Government,ZMB,Zambia
1086,31,0.0987385333185501,9.66598969348961,0.00826236551411442,0,1.4106734354544,0.136895102864004,II,Government,ZMB,Zambia
1088,20,0.0773006816425704,9.10972307454856,0.00752137561148885,0,2.15965866917368,0.307202385460502,II,Government,ZMB,Zambia
