biome_name,carbon_decile,n,n_with_pest,prop_with_pest,se,ci_low,ci_high
"Tropical & Subtropical Grasslands, Savannas & Shrublands",10–20,1684,30,0.0178147268408551,0.00322340777580155,0.0114968476002841,0.0241326060814261
"Tropical & Subtropical Grasslands, Savannas & Shrublands",20–30,1684,22,0.0130641330166271,0.00276702905465086,0.00764075606951139,0.0184875099637428
"Tropical & Subtropical Grasslands, Savannas & Shrublands",30–40,1684,32,0.0190023752969121,0.00332710785704215,0.0124812438971095,0.0255235066967147
"Tropical & Subtropical Grasslands, Savannas & Shrublands",40–50,1684,50,0.0296912114014252,0.00413616540193333,0.0215843272136359,0.0377980955892145
"Tropical & Subtropical Grasslands, Savannas & Shrublands",50–60,1684,52,0.0308788598574822,0.00421549538593069,0.022616488901058,0.0391412308139063
"Tropical & Subtropical Grasslands, Savannas & Shrublands",60–70,1684,34,0.0201900237529691,0.00342742768078645,0.0134722654986277,0.0269077820073106
"Tropical & Subtropical Grasslands, Savannas & Shrublands",70–80,1684,59,0.0350356294536817,0.00448063490438102,0.0262535850410949,0.0438176738662685
"Tropical & Subtropical Grasslands, Savannas & Shrublands",80–90,1684,63,0.0374109263657957,0.00462432822072805,0.0283472430531688,0.0464746096784227
"Tropical & Subtropical Grasslands, Savannas & Shrublands",90–100,1685,59,0.0350148367952522,0.00447802401841128,0.0262379097191661,0.0437917638713383
Tropical & Subtropical Moist Broadleaf Forests,0–10,3650,29,0.00794520547945206,0.00146951480104981,0.00506495646939442,0.0108254544895097
Tropical & Subtropical Moist Broadleaf Forests,10–20,3650,4,0.0010958904109589,0.000547644879227524,2.25064476729569e-05,0.00216927437424485
Tropical & Subtropical Moist Broadleaf Forests,20–30,3650,7,0.00191780821917808,0.000724167964852425,0.00049843900806733,0.00333717743028884
Tropical & Subtropical Moist Broadleaf Forests,30–40,3650,10,0.00273972602739726,0.000865189808724717,0.00104395400229681,0.00443549805249771
Tropical & Subtropical Moist Broadleaf Forests,40–50,3650,11,0.00301369863013699,0.000907294072745639,0.00123540224755553,0.00479199501271844
Tropical & Subtropical Moist Broadleaf Forests,50–60,3650,42,0.0115068493150685,0.00176530037289702,0.00804686058419033,0.0149668380459467
Tropical & Subtropical Moist Broadleaf Forests,60–70,3650,66,0.0180821917808219,0.00220554880078949,0.0137593161312745,0.0224050674303693
