SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,carbon_asset,mean_delta_pa,excess_pest_signal,monitoring_score_raw,pred_inside_mean,pred_outside_mean,obs_occurrence,record_intensity,mean_sampling_effort,mean_ele,mean_temp,mean_precip_seasonality,lon,lat,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,IUCN_group,carbon_asset_rank,excess_signal_rank,monitoring_score,monitoring_rank,priority_flag
10795,20,2044.89965252259,0.793408578976299,1622.44092745707,0.000745735543924955,0.000745735543924955,1.23596491491641,0.00146570891356625,0.000719973369641295,0,0,1.54760387817467,182.631330940804,262.636193843532,81.3018316460931,-46.6889160443215,-3.70318513296311,Reserva Biológica Do Gurupi,Biological Reserve,National,Ia,Sub-national ministry or agency,Designated,1988,BRA,2714.63547973409,Ia,0.93232044198895,0.162062615101289,0.151094288941119,0.42219152854512,FALSE
10801,99,10165.9934297299,0.346308743086605,3520.57240687645,0.000880309800792282,0.000880309800792282,3.15986692871343,0.00168482658034352,0.000804516779551241,0,0,0.417054650097014,388.666845968678,252.56613567926,61.2577235400936,-55.4037746327372,1.81032273296492,Parque do Tumucumaque,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1980,BRA,30713.7066704935,Other/Not reported,0.977900552486188,0.186003683241252,0.181893104606087,0.474217311233886,FALSE
10802,29,2889.73285691682,0.270342719919721,781.218240380276,0.001658513373973,0.001658513373973,1.8407891851472,0.00322473289770304,0.00156621952373004,0,0,2.91574513363835,146.460429300609,258.06596516439,59.8410055506038,-55.0449141784757,-3.55475054509709,Floresta Nacional Do Tapajós,Forest,National,VI,Sub-national ministry or agency,Designated,1974,BRA,5250.56245735214,VI,0.843922651933702,0.283609576427256,0.239344545852284,0.576887661141805,FALSE
10803,20,2079.31626060602,0.0401270879356867,83.436906435441,0.000614753754213331,0.000614753754213331,0.0543725137959845,0.00110499794286779,0.000490244188654457,0,0,2.42446971134471,47.0327890901157,267.531518457064,55.6945147266886,-51.731033094682,-1.96772668605513,Floresta Nacional De Caxiuanã,Forest,National,VI,Sub-national ministry or agency,Designated,1961,BRA,3179.46382849309,VI,0.225598526703499,0.13720073664825,0.0309522840504801,0.132136279926335,FALSE
10815,13,1059.88262339243,0.444366633280963,470.97647302989,0.000841632731918707,0.000841632731918707,0.467129951055165,0.00163209384708891,0.000790461115170206,0,0,4.25143001653786,122.197505111708,256.60097541319,66.2424015739965,-62.9432353492291,-9.23245506793913,Floresta Nacional Do Jamari,Forest,National,VI,Sub-national ministry or agency,Designated,1984,BRA,2221.67147832736,VI,0.74171270718232,0.17817679558011,0.132155993406795,0.382596685082873,FALSE
10826,7,605.530947160243,0.513836882025769,311.14413385893,0.00100276740725172,0.00100276740725172,0.301187984590111,0.00201955836649954,0.00101679095924781,0,0,2.86960544005473,52.4897842580182,272.74659230636,62.7718703658247,-61.3552519908448,1.42228979878207,Estação Ecológica De Niquiá,Ecological Station,National,Ia,Sub-national ministry or agency,Designated,1985,BRA,3064.02037125117,Ia,0.610957642725599,0.202117863720074,0.12348545357115,0.366942909760589,FALSE
10830,17,1843.03216704959,0.172860400505857,318.58727854137,0.000402080895922811,0.000402080895922811,0.129779681988441,0.000747228729758002,0.000345147833835191,0,0,0.954922176188438,104.625129215062,254.814439893087,13.8567876364345,-68.2742831571765,-2.20191886817555,Estação Ecológica Juami-Japurá,Ecological Station,National,Ia,Sub-national ministry or agency,Designated,1985,BRA,8313.49584795695,Ia,0.618324125230203,0.0814917127071823,0.0503882919731795,0.186003683241252,FALSE
10842,7,213.019676319833,0.446927039312894,95.2042532530137,0.00210986811922294,0.00210986811922294,0.192136478128565,0.00415086037121146,0.00204099225198852,0,0,3.74975671051963,556.302978804009,225.637713174199,40.6948934068531,-38.5594210268537,-9.85947643981875,Estação Ecológica Raso Da Catarina,Ecological Station,National,Ia,Sub-national ministry or agency,Designated,1984,BRA,1047.22812099624,Ia,0.254604051565378,0.328729281767956,0.0836958070062982,0.26427255985267,FALSE
10845,15,1600.2366169064,0.200354359382591,320.614382240846,0.00069458403597283,0.00069458403597283,0.288098698775925,0.00132348885268672,0.000628904816713886,0,0,1.28827624247132,71.2281414973128,256.639084254076,20.1391520267598,-67.5301527279526,-3.16558170491404,Estação Ecológica De Jutaí-Solimões,Ecological Station,National,Ia,Sub-national ministry or agency,Designated,1983,BRA,2895.12087046928,Ia,0.622467771639042,0.153314917127072,0.0954335948231128,0.296961325966851,FALSE
10902,503,17340.4509145809,0.478267092144431,8293.36703538982,0.00245322501256762,0.00245322501256762,17.9619024182816,0.00480935137123964,0.00235612635867202,0.00212820282552043,0.0014751577881692,0.625771079577563,322.243772193511,-22.1305674391782,45.2050407616321,-113.091472877273,59.0486836441438,Wood Buffalo National Park,World Heritage Site (natural or mixed),International,Not Applicable,Not Reported,Inscribed,1983,CAN,45600.2044293951,Other/Not reported,0.992633517495396,0.357274401473297,0.354642545845501,0.751841620626151,FALSE
