iso_a3,protected_forest_area_ha,pest_record_area_ha_gt0,pest_record_area_ha_gt1,pest_record_share_gt0,pest_record_share_gt1,n_protected_forest_cells,n_cells_with_pest_gt0,n_cells_with_pest_gt1,protected_forest_area_Mha,pest_record_area_Mha_gt0,pest_record_area_Mha_gt1,pest_record_share_pct_gt0,pest_record_share_pct_gt1,formal_en,continent
MEX,14579572.2777687,3650591.8152503,3650591.8152503,0.250390871947377,0.250390871947377,2379,629,499,14.5795722777687,3.6505918152503,3.6505918152503,25.0390871947377,25.0390871947377,United Mexican States,North America
POL,12690573.4911588,2017004.68225452,2017004.68225452,0.158937236655201,0.158937236655201,3037,483,208,12.6905734911588,2.01700468225452,2.01700468225452,15.8937236655201,15.8937236655201,Republic of Poland,Europe
COG,12597381.0667318,19427.0603147364,19427.0603147364,0.00154215072258479,0.00154215072258479,1257,4,2,12.5973810667318,0.0194270603147364,0.0194270603147364,0.154215072258479,0.154215072258479,Republic of the Congo,Africa
ESP,12137076.5581598,12029188.0290439,12029188.0290439,0.991110830635457,0.991110830635457,2175,2159,2153,12.1370765581598,12.0291880290439,12.0291880290439,99.1110830635457,99.1110830635457,Kingdom of Spain,Europe
CAF,10577743.1785542,39288.4443818039,39288.4443818039,0.00371425584064653,0.00371425584064653,1097,5,1,10.5777431785542,0.0392884443818039,0.0392884443818039,0.371425584064653,0.371425584064653,Central African Republic,Africa
THA,10396372.3708012,896117.744219324,896117.744219324,0.0861952335158871,0.0861952335158871,1583,156,62,10.3963723708012,0.896117744219324,0.896117744219324,8.61952335158871,8.61952335158871,Kingdom of Thailand,Asia
CHL,9733952.90690939,564982.805042637,564982.805042637,0.0580424839164364,0.0580424839164364,1617,92,56,9.73395290690939,0.564982805042637,0.564982805042637,5.80424839164364,5.80424839164364,Republic of Chile,South America
AGO,9533790.69706723,0,0,0,0,1010,0,0,9.53379069706723,0,0,0,0,People's Republic of Angola,Africa
ETH,9100192.00487051,73026.959546701,73026.959546701,0.00802477129137673,0.00802477129137673,1195,11,7,9.10019200487051,0.073026959546701,0.073026959546701,0.802477129137673,0.802477129137673,Federal Democratic Republic of Ethiopia,Africa
SSD,8674012.91190196,23152.39623256,23152.39623256,0.00266916783128045,0.00266916783128045,938,2,1,8.67401291190196,0.02315239623256,0.02315239623256,0.266916783128045,0.266916783128045,Republic of South Sudan,Africa
SWE,7900489.01957706,1986005.33094728,1986005.33094728,0.251377519293558,0.251377519293558,5048,2089,1605,7.90048901957706,1.98600533094728,1.98600533094728,25.1377519293558,25.1377519293558,Kingdom of Sweden,Europe
NZL,7672670.42379063,1220397.93238979,1220397.93238979,0.159057781056997,0.159057781056997,1825,472,299,7.67267042379063,1.22039793238979,1.22039793238979,15.9057781056997,15.9057781056997,New Zealand,Oceania
JPN,7348861.70734648,1847318.12761864,1847318.12761864,0.251374730017292,0.251374730017292,2804,662,359,7.34886170734648,1.84731812761864,1.84731812761864,25.1374730017292,25.1374730017292,Japan,Asia
ARG,7331279.04350838,312151.314064217,312151.314064217,0.0425780156793538,0.0425780156793538,1143,63,34,7.33127904350838,0.312151314064217,0.312151314064217,4.25780156793538,4.25780156793538,Argentine Republic,South America
GIN,7321706.30799382,23323.0189866049,23323.0189866049,0.0031854622413823,0.0031854622413823,915,4,1,7.32170630799382,0.0233230189866049,0.0233230189866049,0.31854622413823,0.31854622413823,Republic of Guinea,Africa
CIV,7224427.06913117,92803.9880792321,92803.9880792321,0.0128458612968451,0.0128458612968451,1316,27,14,7.22442706913117,0.0928039880792321,0.0928039880792321,1.28458612968451,1.28458612968451,Republic of Ivory Coast,Africa
UKR,7211201.65218857,751767.329500359,751767.329500359,0.104249938603811,0.104249938603811,2567,232,102,7.21120165218857,0.751767329500359,0.751767329500359,10.4249938603811,10.4249938603811,Ukraine,Europe
MDG,7132268.07823168,223916.862061555,223916.862061555,0.0313949026600625,0.0313949026600625,1186,32,12,7.13226807823168,0.223916862061555,0.223916862061555,3.13949026600625,3.13949026600625,Republic of Madagascar,Africa
ZWE,7103536.09271008,149158.645053266,149158.645053266,0.020997802095542,0.020997802095542,870,25,9,7.10353609271008,0.149158645053266,0.149158645053266,2.0997802095542,2.0997802095542,Republic of Zimbabwe,Africa
PRY,7096957.11210854,101170.659121779,101170.659121779,0.0142554981696544,0.0142554981696544,900,26,16,7.09695711210854,0.101170659121779,0.101170659121779,1.42554981696544,1.42554981696544,Republic of Paraguay,South America
KHM,6921136.21692497,409670.976929295,409670.976929295,0.0591912894197175,0.0591912894197175,829,47,32,6.92113621692497,0.409670976929295,0.409670976929295,5.91912894197175,5.91912894197175,Kingdom of Cambodia,Asia
NGA,6839144.13428506,57895.959163357,57895.959163357,0.00846538075913927,0.00846538075913927,1376,9,8,6.83914413428506,0.057895959163357,0.057895959163357,0.846538075913927,0.846538075913927,Federal Republic of Nigeria,Africa
ITA,6580397.75103804,2828985.97689312,2828985.97689312,0.429911091080604,0.429911091080604,1696,820,543,6.58039775103804,2.82898597689312,2.82898597689312,42.9911091080604,42.9911091080604,Italian Republic,Europe
CHN,5486963.59922139,580183.818732643,580183.818732643,0.105738594441372,0.105738594441372,1066,109,66,5.48696359922139,0.580183818732643,0.580183818732643,10.5738594441372,10.5738594441372,People's Republic of China,Asia
GAB,5426321.09559191,217797.204044563,217797.204044563,0.0401371758522531,0.0401371758522531,628,27,26,5.42632109559191,0.217797204044563,0.217797204044563,4.01371758522531,4.01371758522531,Gabonese Republic,Africa
ECU,5304782.7525266,324480.356031194,324480.356031194,0.0611675107480412,0.0611675107480412,710,66,33,5.3047827525266,0.324480356031194,0.324480356031194,6.11675107480412,6.11675107480412,Republic of Ecuador,South America
