SITE_ID,n_forest_cells,total_protected_forest_area_mha,mean_carbon_percentile,mean_pest_record_probability,obs_occurrence,record_intensity,mean_sampling_effort,lon,lat,IUCN_group,governance_group,ISO3,country
555697877,13,0.0334495917484105,0.13515572646828,0.0160223491386561,0,0,2.32880893446159,43.9925698739062,-21.762099157699,V,Government,MDG,Madagascar
555697881,20,0.111349827876384,0.706680974665567,0.0640314611656236,0,0,4.03080405621575,47.2670661283287,-22.0582996002728,V,Government,MDG,Madagascar
555697894,5,0.0286093652443674,0.783896027075597,0.0761244546970614,0,0,6.7396261239268,48.0027373811238,-13.769394780596,V,Government,MDG,Madagascar
555697895,5,0.0300362162939129,0.76690230367218,0.0627234154256531,0,0,6.03688250007987,48.652799206939,-13.6361953152492,V,Government,MDG,Madagascar
555697908,13,0.0441793220881147,0.817559455559894,0.0690213244888454,0,0,6.33550542923171,49.6456255896411,-13.1218595130613,V,Government,MDG,Madagascar
555698070,10,0.0254407597145225,0.70597558900066,0.00651493958536212,0,0,1.68795612341471,-47.4601839763581,-13.2943673765245,VI,Community/Indigenous,BRA,Brazil
555698082,17,0.171171530849165,0.473382119772075,0.0193886516559964,0,0,5.34317906136485,-78.7379944354358,0.600452125220832,II,Government,ECU,Ecuador
555698167,6,0.00981638238743252,0.626481430195179,0.015419461095524,0,0,1.42338988102778,31.6529262298311,-15.9220665968377,II,Government,MOZ,Mozambique
555700730,5,0.00820473098894429,0.794513651372014,0.23072704421274,0,0,4.56650556555764,16.8044616081389,43.7658898621926,Not reported,Government,HRV,Croatia
555703203,10,0.0360650834129771,0.653791863036035,0.119903995795579,0,0,7.1080760734997,31.0709719171847,-25.9056064337695,Not reported,Not reported,ZAF,South Africa
555703331,8,0.0242251025331766,0.544706516769478,0.349310692094131,0,0,6.61679818338839,-89.2901509064585,14.3509207510599,Not reported,Shared governance,SLV,El Salvador
555703462,9,0.0518539359088372,0.784210647225866,0.0433449558552666,0,0,1.21909676036234,98.5542799964869,26.4515141870392,II,Government,MMR,Myanmar (Burma)
555703466,14,0.0558788257695419,0.307641039234638,0.0430268561921753,0,0,2.3023635065593,104.866326114393,13.7612698815933,VI,Government,KHM,Cambodia
555703474,12,0.0364534131445716,0.699309795849525,0.0198466267256998,0,0,0.991517668729396,107.317000777529,12.9164940846042,IV,Government,KHM,Cambodia
555703504,11,0.0429953332860715,0.448483100652907,0.030376530315804,0,0,1.09312997970108,106.571669178224,13.5157256249759,VI,Government,KHM,Cambodia
555703743,43,0.362297723246981,0.481764655617129,0.0275646608816286,0,0,0.868304129499522,103.394548595539,20.3776972101264,II,Government,LAO,Laos
555703744,5,0.0342308716781479,0.42857706144262,0.0353512816485991,0,0,2.55031178910917,105.961452629795,17.3407526270484,II,Government,LAO,Laos
555703745,42,0.395487657532211,0.425483679788274,0.0364280419204274,0,0,2.58176788065115,105.307516893178,17.9273227945204,II,Government,LAO,Laos
555703746,7,0.055723198560794,0.70409746862562,0.0763019446704893,0,0,2.30123479336972,102.195703345756,20.7493935030133,VI,Government,LAO,Laos
