SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,carbon_asset,pest_signal,pest_signal_observed_effort,obs_occurrence,record_intensity,lon,lat,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,IUCN_group,carbon_asset_rank,pest_signal_rank,priority_score,priority_rank,priority_flag
33908,10,1061.34061275239,0.220753709733979,234.294877556424,0.00133433377567646,0.00138894435424014,0,0,-69.2497073463533,-3.77761804513361,Évare II,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1997,BRA,1726.93673110207,Other/Not reported,0.51404596862459,0.137541043414812,0.0707024188878038,0.234221087194455,FALSE
33909,52,5512.41877147044,0.159921145844209,881.552326306676,0.00126999847238882,0.00220379856119209,0,0,-69.594608627256,-3.80092366463368,Évare I,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,2010,BRA,5487.23585836411,Other/Not reported,0.856256840569135,0.130974097044874,0.112147466532039,0.339292229113462,FALSE
33912,12,1168.6813023359,0.147234465330918,172.070166691668,0.00062981671911129,0.000600961527112262,0,0,-68.4146643869223,-3.54838828586506,Vui-Uata-In,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1998,BRA,1215.83781725386,Other/Not reported,0.411893469536665,0.048522437066764,0.0199860749538039,0.0890186063480482,FALSE
33917,5,559.249762700013,0.146851173678785,82.1264840320787,0.000557865986795112,0.000378001052050609,0,0,-67.4688144640385,-2.42453633109318,Uati-Paraná,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1995,BRA,1292.04361390381,Other/Not reported,0.210142283838015,0.0383071871579715,0.00804995979678643,0.0401313389273988,FALSE
33920,717,86788.65513334,0.0339909289890739,2950.02701369458,0.000951485063373967,0.00067830477800054,0,0,-71.3570476473757,-5.87492381545897,Vale do Javari,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,2002,BRA,85340.5470050387,Other/Not reported,0.963881794965341,0.0959503830718716,0.0924848274629277,0.291499452754469,FALSE
33922,214,25566.9971636178,0.155207017557555,3968.17737766759,0.000932434378788916,0.00107131036367472,0,0,-60.7202442741909,-0.848266120729459,Waimiri-Atroari,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1999,BRA,25897.24917593,Other/Not reported,0.973732214520248,0.093031740240788,0.090588002445335,0.287851149215615,FALSE
33925,12,1345.03809269283,0.0671117482608007,90.267857877989,0.000537384156203503,0.000476489151699673,0,0,-66.3884137945395,-6.92895160912504,Zuruahã,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1996,BRA,2381.21752431287,Other/Not reported,0.231302444363371,0.0342940532652317,0.00793229834737573,0.0394016782196279,FALSE
33926,48,5621.89539744361,0.460473571518608,2588.73425236489,0.00221050209940806,0.00204854229973221,0.0218984255185889,0.0240578793772051,-46.2966166967083,-2.85742332907506,Alto Turiaçu,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1983,BRA,5294.73486458613,Other/Not reported,0.956950018241518,0.192265596497629,0.183988566075622,0.487778183144838,FALSE
33927,36,3766.02547796984,0.728768562627484,2744.56097439856,0.00258400444617857,0.00189315976915421,0,0,-46.419521447811,-5.06250612726601,Arariboia,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1996,BRA,4138.16597867875,Other/Not reported,0.960233491426487,0.209047792776359,0.200734691932644,0.522437066763955,FALSE
33930,13,1077.2733605303,0.912923961578055,983.468663997822,0.00441042809768908,0.00509184064186186,0,0,-45.5521998918328,-5.60980350260289,Cana Brava/Guajajara,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1996,BRA,1355.47985117765,Other/Not reported,0.86866107260124,0.286026997446188,0.248460518394518,0.609631521342576,FALSE
33931,12,1246.8672756075,0.537306726476636,669.950174207504,0.00220063367588117,0.00214744741377735,0,0,-46.3030243655676,-3.70845854569495,Caru,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1983,BRA,1708.58587664817,Other/Not reported,0.803356439255746,0.191535935789858,0.153871627365657,0.430499817584823,FALSE
33935,11,622.695474461828,0.871211084502063,542.499199620416,0.00462637391810382,0.00546363519939071,0,0,-46.9210031285626,-5.88972839427398,Krikati,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,2008,BRA,1450.6918117396,Other/Not reported,0.756293323604524,0.295147756293324,0.223218277561496,0.561838744983583,FALSE
33942,8,797.196524072243,0.604069276566776,481.561927577868,0.000868905467675233,0.000615521833865651,0,0,-57.4017192659852,-10.9342476453632,Apiaka/Kayabi,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1988,BRA,1096.24025651198,Other/Not reported,0.731120029186428,0.0828164903319956,0.0605487948286462,0.207223641006932,FALSE
33946,16,945.273654654914,0.7930868878485,749.684140935443,0.00182134469113453,0.00266467073025767,0,0,-51.9672836874663,-14.3785570876032,Areões,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1997,BRA,1802.83020647017,Other/Not reported,0.827800072966071,0.167821962787304,0.138923033040639,0.399854067858446,FALSE
33951,43,4620.62951006991,0.500712095313799,2313.60508365588,0.00123276075954378,0.00109391430763954,0,0,-53.1402493665542,-10.2496762058179,Capoto/Jarina,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1999,BRA,6345.08632059722,Other/Not reported,0.950747902225465,0.126231302444363,0.120014145994167,0.355709595038307,FALSE
33952,5,381.843034734,0.637801091797395,243.539904448576,0.00143321035791929,0.00102250646737344,0,0,-58.2416497866207,-11.3415577624626,Erikbaktsa,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1987,BRA,810.964106011204,Other/Not reported,0.530098504195549,0.144472820138636,0.0765848258524033,0.249543962057643,FALSE
33953,13,1390.06145977221,0.394993000234831,549.064546506234,0.000762512395499482,0.000629665523431608,0,0,-58.6499925532741,-9.519765542479,Escondido,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1999,BRA,1688.28948927959,Other/Not reported,0.759941627143378,0.0660342940532652,0.0501822088701027,0.178766873403867,FALSE
33958,14,1304.27776059019,0.515660719789639,672.564808831556,0.00165691349396979,0.00125595022961352,0,0,-58.2424399307659,-10.7570830351252,Japuira,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1994,BRA,1544.85607609628,Other/Not reported,0.804815760671288,0.159795695001824,0.12860609382489,0.375775264502007,FALSE
33965,93,9005.68925269035,0.776164699635554,6989.89809382554,0.00131443640667339,0.00117631896291658,0,0,-59.4610728836129,-12.8449506821954,Nambikwara,Indigenous Area,National,Not Reported,Indigenous Peoples,Designated,1987,BRA,10100.5940818873,Other/Not reported,0.987230937614009,0.135352061291499,0.133623742376796,0.387449835826341,FALSE
