SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,n_high_cells,high_carbon_area,mean_net_effect,obs_occurrence_high,pred_inside_high,pred_outside_high,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,continent,IUCN_group,gap_like,carbon_rank,area_rank,asset_score,gap_rank,priority_score,priority_flag
352203,102,11698.3213131078,0.825458555199918,66,7320.04333849647,0.00331528312516416,0.0161259581928398,0.00725396169430031,0.00393867856913615,Área De Proteção Ambiental Triunfo Do Xingu,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,2006,BRA,16796.443918445,Americas,V,-0.00331528312516416,0.589147286821706,1,0.794573643410853,0.732558139534884,0.582071389940508,TRUE
352211,5,201.569930100515,0.963136247445076,5,201.569930100515,0.00510942933447957,0,0.00957658391051266,0.00446715457603309,Área De Proteção Ambiental De São Geraldo Do Araguaia,Environmental Protection Area,National,V,Sub-national ministry or agency,Designated,1996,BRA,267.034354216761,Americas,V,-0.00510942933447957,0.968992248062015,0.248062015503876,0.608527131782946,0.63953488372093,0.389174328465837,FALSE
356397,11,311.719559881127,0.862844380159249,8,217.02137491952,0.109230166478871,0,0.172520552350327,0.063290385871457,Muundhi (Jack River),National Park Aboriginal,National,II,Joint governance,Designated,2013,AUS,1647.92836376264,Oceania,II,-0.109230166478871,0.713178294573643,0.275193798449612,0.494186046511628,0.170542635658915,0.0842797908779521,FALSE
357372,5,154.301239058874,0.945326883770969,5,154.301239058874,0.0506981976849689,0,0.261588902494011,0.210890704809042,Tone-Perup,Nature Reserve,National,Ia,Sub-national ministry or agency,Designated,2004,AUS,559.741742204101,Oceania,Ia,-0.0506981976849689,0.930232558139535,0.116279069767442,0.523255813953488,0.306201550387597,0.160221741481882,FALSE
365217,25,1142.23012180223,0.782301084662269,11,493.290096585712,0.10888855034288,0.815947252635065,0.238651513021726,0.129762962678846,Alpine Lakes,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1976,USA,1680.26471268268,Americas,Ib,-0.10888855034288,0.434108527131783,0.709302325581395,0.571705426356589,0.174418604651163,0.0997160627366144,FALSE
366393,14,279.642773975586,0.692330448706005,5,87.4815129563859,0.0830761199616275,0.32239470542015,0.136447733759319,0.0533716137976919,Bridger,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1964,USA,1727.00050553477,Americas,Ib,-0.0830761199616275,0.282945736434109,0.0155038759689922,0.14922480620155,0.236434108527132,0.0352818340243976,FALSE
368535,10,347.556819509668,0.868739615595615,9,302.967251863254,0.138083589617251,0.35640319198667,0.238927294405686,0.100843704788435,Flat Tops,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1975,USA,934.952160574651,Americas,Ib,-0.138083589617251,0.74031007751938,0.441860465116279,0.591085271317829,0.10077519379845,0.0595667327684634,FALSE
368950,25,1080.39597127674,0.689182587659783,5,163.891912326805,0.0947903570077488,0.650577184203671,0.156406287450405,0.0616159304426564,Glacier Peak,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1964,USA,2291.84088105257,Americas,Ib,-0.0947903570077488,0.27906976744186,0.143410852713178,0.211240310077519,0.213178294573643,0.0450318490475332,FALSE
369302,10,288.766355773879,0.809026199893889,7,192.356394356249,0.0652537377214045,0.288518080106248,0.172677452805178,0.107423715083773,Gros Ventre,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1984,USA,1158.65538376973,Americas,Ib,-0.0652537377214045,0.546511627906977,0.224806201550388,0.385658914728682,0.263565891472868,0.101646535664924,FALSE
369724,14,323.710463489364,0.869868945593537,12,267.879500424598,0.121964667522187,0,0.208686554765185,0.086721887242998,High Uintas,Wilderness,National,Ib,Federal or national ministry or agency,Designated,1984,USA,1836.72022943696,Americas,Ib,-0.121964667522187,0.744186046511628,0.364341085271318,0.554263565891473,0.13953488372093,0.0773391022174148,FALSE
