SITE_ID,n_forest_cells,total_protected_forest_area,mean_carbon_percentile,n_high_cells,high_carbon_area,mean_net_effect,obs_occurrence_high,pred_inside_high,pred_outside_high,NAME_ENG,DESIG_ENG,DESIG_TYPE,IUCN_CAT_PA,GOV_TYPE,STATUS,STATUS_YR,ISO3,GIS_AREA,continent,IUCN_group,gap_like,carbon_rank,area_rank,asset_score,gap_rank,priority_score,priority_flag,effect_rank,priority_cut,lon,lat,priority_rank,size_class,designation_group,governance_group
555557764,28,733.491207164953,0.740779486660476,9,279.912478426193,0.0277098479883187,0.0634691889826709,0.0413498638012443,0.0136400158129255,Lac La Ronge Provincial Park,Natural Environment Park,National,II,Sub-national ministry or agency,Designated,1939,CAN,3194.18097667341,Americas,II,-0.0277098479883187,0.309734513274336,0.407079646017699,0.358407079646018,0.39922480620155,0.226779700837967,FALSE,0.632743362831858,0.507126634818702,-104.689285714286,55.2964285714286,0.508849557522124,Medium,Other designations,Government
555557769,16,643.285508979843,0.619126994021408,5,186.68814950066,0.00221552861669718,0,0.00901820216971095,0.00680267355301377,Mccusker River,Ecological Reserve,National,Ia,Sub-national ministry or agency,Designated,1998,CAN,1394.31625411321,Americas,Ia,-0.00221552861669718,0.154867256637168,0.216814159292035,0.185840707964602,0.786821705426357,0.0435821129297517,FALSE,0.234513274336283,0.507126634818702,-108.7125,55.175,0.119469026548673,Small,Nature/Forest Reserve,Government
555557773,21,958.23164314365,0.921045491449321,21,958.23164314365,0.00346258115379455,0,0.00536213425997892,0.00189955310618437,Seager Wheeler Lake,Representative Area Ecological Reserve,National,Ib,Sub-national ministry or agency,Designated,1999,CAN,1771.88552596095,Americas,Ib,-0.00346258115379455,0.858407079646018,0.907079646017699,0.882743362831858,0.72093023255814,0.265604197666223,FALSE,0.300884955752212,0.507126634818702,-103.664285714286,54.1928571428571,0.597345132743363,Medium,Nature/Forest Reserve,Government
555566943,32,1122.49757438235,0.728342582393689,9,322.506272161373,0.00452412655544364,0,0.00702219696165996,0.00249807040621631,Pink Lake,Representative Area Ecological Reserve,National,Ib,Sub-national ministry or agency,Designated,2013,CAN,3675.20439574167,Americas,Ib,-0.00452412655544364,0.29646017699115,0.504424778761062,0.400442477876106,0.670542635658915,0.14352141906179,FALSE,0.358407079646018,0.507126634818702,-104.3,56.871875,0.331858407079646,Medium,Nature/Forest Reserve,Government
555567090,109,3066.54814269048,0.806736570046629,64,2017.95046118999,0.0069643206122733,0,0.0102649536374689,0.00330063302519559,Proposed Albanel-Témiscamie-Otish Biodiversity Reserve,Proposed biodiversity reserve,National,II,Sub-national ministry or agency,Designated,2007,CAN,12041.8069876907,Americas,II,-0.0069643206122733,0.513274336283186,0.969026548672566,0.741150442477876,0.616279069767442,0.30826611324301,FALSE,0.415929203539823,0.507126634818702,-72.2206422018349,51.6967889908257,0.65929203539823,Large,Nature/Forest Reserve,Government
555567132,6,279.348768013725,0.859463223783019,6,279.348768013725,0.0111124542988509,0,0.0182717534064381,0.0071592991075872,Proposed marais du lac Parent Biodiversity Reserve,Proposed biodiversity reserve,National,II,Sub-national ministry or agency,Designated,2004,CAN,402.840523293089,Americas,II,-0.0111124542988509,0.70353982300885,0.402654867256637,0.553097345132743,0.546511627906977,0.271654005795285,FALSE,0.491150442477876,0.507126634818702,-76.85,48.7,0.601769911504425,Small,Nature/Forest Reserve,Government
555567145,6,149.415578324229,0.878120420515238,5,126.318508075841,0.00630720524681833,0,0.0092950989900378,0.00298789374321947,Proposed lac Onistagane Biodiversity Reserve,Proposed biodiversity reserve,National,II,Sub-national ministry or agency,Designated,2005,CAN,674.300667377948,Americas,II,-0.00630720524681833,0.774336283185841,0.0752212389380531,0.424778761061947,0.624031007751938,0.172918787688934,FALSE,0.407079646017699,0.507126634818702,-71.3333333333333,50.8166666666667,0.384955752212389,Small,Nature/Forest Reserve,Government
555567148,51,1965.59590810503,0.852767105290187,34,1418.07233232223,0.00523245420832025,0,0.00772145300464941,0.00248899879632915,Assinica National Park Reserve (Québec),Quebec's national park reserve,National,II,Sub-national ministry or agency,Established,2011,CAN,3213.9336786439,Americas,II,-0.00523245420832025,0.676991150442478,0.955752212389381,0.816371681415929,0.635658914728682,0.321491502858485,FALSE,0.393805309734513,0.507126634818702,-75.2225490196079,50.428431372549,0.685840707964602,Medium,National Park,Government
555569935,10,381.227498926045,0.93181553335004,9,362.240162077461,0.0437729495514993,0,0.0899812959405081,0.0462083463890088,Gauri-Shankar,Conservation Area,National,VI,Non-profit organisations,Designated,2010,NPL,2206.34687869987,Asia,VI,-0.0437729495514993,0.893805309734513,0.588495575221239,0.741150442477876,0.329457364341085,0.521428851123815,TRUE,0.70353982300885,0.507126634818702,86.09,27.84,0.902654867256637,Medium,Other designations,Other governance
555569942,8,206.961011642224,0.952695750801037,7,187.457962076434,0.0227350189958691,0,0.0455033502774865,0.0227683312816174,Api - Nampa,Conservation Area,National,VI,Federal or national ministry or agency,Designated,2010,NPL,1898.85260037952,Asia,VI,-0.0227350189958691,0.938053097345133,0.221238938053097,0.579646017699115,0.426356589147287,0.353943143550787,FALSE,0.610619469026549,0.507126634818702,80.75,29.8375,0.747787610619469,Medium,Other designations,Government
